Date,Geography,New housing price indexes,Index Value
2018-05,Newfoundland and Labrador,Land only,99.8
2018-05,"St. John's, Newfoundland and Labrador",Total (house and land),98.9
2018-05,"St. John's, Newfoundland and Labrador",House only,98.6
2018-05,"St. John's, Newfoundland and Labrador",Land only,99.8
2018-05,Prince Edward Island,Total (house and land),100.5
2018-05,Prince Edward Island,House only,100.6
2018-05,Prince Edward Island,Land only,100.1
2018-05,"Charlottetown, Prince Edward Island",Total (house and land),100.5
2018-05,"Charlottetown, Prince Edward Island",House only,100.6
2018-05,"Charlottetown, Prince Edward Island",Land only,100.1
2018-05,Nova Scotia,Total (house and land),101.8
2018-05,Nova Scotia,House only,102.2
2018-05,Nova Scotia,Land only,100.2
2018-05,"Halifax, Nova Scotia",Total (house and land),101.8
2018-05,"Halifax, Nova Scotia",House only,102.2
2018-05,"Halifax, Nova Scotia",Land only,100.2
2018-05,New Brunswick,Total (house and land),101.1
2018-05,New Brunswick,House only,101.2
2018-05,New Brunswick,Land only,100.0
2018-05,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),101.1
2018-05,"Saint John, Fredericton, and Moncton, New Brunswick",House only,101.2
2018-05,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,100.0
2018-05,Quebec,Total (house and land),101.9
2018-05,Quebec,House only,102.3
2018-05,Quebec,Land only,101.0
2018-05,"Québec, Quebec",Total (house and land),100.7
2018-05,"Québec, Quebec",House only,100.4
2018-05,"Québec, Quebec",Land only,101.3
2018-05,"Sherbrooke, Quebec",Total (house and land),100.6
2018-05,"Sherbrooke, Quebec",House only,100.3
2018-05,"Sherbrooke, Quebec",Land only,101.9
2018-05,"Trois-Rivières, Quebec",Total (house and land),100.6
2018-05,"Trois-Rivières, Quebec",House only,100.7
2018-05,"Trois-Rivières, Quebec",Land only,100.2
2018-05,"Montréal, Quebec",Total (house and land),102.5
2018-05,"Montréal, Quebec",House only,103.1
2018-05,"Montréal, Quebec",Land only,101.0
2018-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),101.6
2018-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,102.3
2018-05,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,100.0
2018-05,Ontario,Total (house and land),104.1
2018-05,Ontario,House only,103.2
2018-05,Ontario,Land only,106.5
